品名コード,品名漢字,カテゴリ_ブランド_,シリーズ,付加価値品フラグ,会社_文字型_,Primary_key,ソート
28482,ＱＰ　深煎りごまのたれ,キユーピー,深煎りごま,対象,11,11_28482,110
55223,ＱＰ　深煎りごまのたれ,キユーピー,深煎りごま,対象,11,11_55223,110
55793,ＱＰ　深煎りごまドレッシングＣＧＣロゴ付,キユーピー,深煎りごま,対象,11,11_55793,110
55529,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_55529,110
4127,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_4127,110
41228,ＱＰ　深煎りごまドレ　カロリーハーフ,キユーピー,深煎りごま,対象,11,11_41228,110
40884,ＱＰ　深煎りごまドレ　柚子こしょう,キユーピー,深煎りごま,対象,11,11_40884,110
40883,ＱＰ　深煎りごまドレ　にんにく味噌味,キユーピー,深煎りごま,対象,11,11_40883,110
4129,ＱＰ　深煎りごまドレ　カロリーハーフ,キユーピー,深煎りごま,対象,11,11_4129,110
55933,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_55933,110
15588,ＱＰ　深煎りごまゆずテイストドレッシング,キユーピー,深煎りごま,対象,11,11_15588,110
38713,ＱＰ　深煎りごまドレッシング　旨辛ラー油,キユーピー,深煎りごま,対象,11,11_38713,110
38712,ＱＰ　深煎りごまドレ　薬味ポン酢味,キユーピー,深煎りごま,対象,11,11_38712,110
29208,ＱＰ　深煎りごまのつゆ,キユーピー,深煎りごま,対象,11,11_29208,110
55000,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_55000,110
50587,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_50587,110
16727,ＱＰ　深煎りごまドレ（サンプル付き）,キユーピー,深煎りごま,対象,11,11_16727,110
45339,ＱＰ　深煎りごまドレッシング（試供品）,キユーピー,深煎りごま,対象,11,11_45339,110
46781,ＱＰ　深煎りごまドレッシング,キユーピー,深煎りごま,対象,11,11_46781,110
40032,ＱＰ　深煎りごまドレ（試供品つけだれ）,キユーピー,深煎りごま,対象,11,11_40032,110
4249,ＱＰ　深煎りごまドレハーフ（試供品）,キユーピー,深煎りごま,対象,11,11_4249,110
39403,ＱＰ　深煎りごまドレ旨辛ラー油（試供品）,キユーピー,深煎りごま,対象,11,11_39403,110
40035,ＱＰ　深煎りごまドレ（試供品うどん）,キユーピー,深煎りごま,対象,11,11_40035,110
27288,ＱＰ　具だくさんタルタル　２本パック,キユーピー,タルタル,対象,11,11_27288,120
30322,ＱＰ　タルタルソース２本パック,キユーピー,タルタル,対象,11,11_30322,120
55013,ＱＰ　タルタルソース,キユーピー,タルタル,対象,11,11_55013,120
55017,ＱＰ　具だくさんタルタル,キユーピー,タルタル,対象,11,11_55017,120
55012,ＱＰ　タルタルソース,キユーピー,タルタル,対象,11,11_55012,120
55014,ＱＰ　タルタルソース（１０本スティック）,キユーピー,タルタル,対象,11,11_55014,120
1664,ＱＰ　具だくさんレモンタルタル,キユーピー,タルタル,対象,11,11_1664,120
22299,ＱＰ　具だくさんタルタル,キユーピー,タルタル,対象,11,11_22299,120
69456,ＱＰ　タルタルソース,キユーピー,タルタル,対象,11,11_69456,120
69457,ＱＰ　タルタルソース,キユーピー,タルタル,対象,11,11_69457,120
69458,ＱＰ　タルタルソース（１０本スティック）,キユーピー,タルタル,対象,11,11_69458,120
67676,ＱＰ　具だくさんタルタル（試供品）,キユーピー,タルタル,対象,11,11_67676,120
94667,Ｊ１１０１００　業務用調味料その他,キユーピー,タルタル,対象,11,11_94667,120
430486,Ｋ１１１２１０　家庭用タルタルソース,キユーピー,タルタル,対象,11,11_430486,120
93067,Ｃ１１００１５　代表家庭用タルタルソース,キユーピー,タルタル,対象,11,11_93067,120
2453,ＱＰ　具だくさんレモンタルタル（試供品）,キユーピー,タルタル,対象,11,11_2453,120
93376,（代表）家庭用マヨ類ポーション（廃止）,キユーピー,タルタル,対象,11,11_93376,120
30674,ＱＰ３分　手作りオイルＳガーリック＆トマ,キユーピー3分クッキング,グロッサリー,対象,11,11_30674,210
68656,ＱＰ３分　フライパン１つで！　クリーム,キユーピー3分クッキング,グロッサリー,対象,11,11_68656,210
68657,ＱＰ３分　フライパン１つで！　トマト,キユーピー3分クッキング,グロッサリー,対象,11,11_68657,210
68658,ＱＰ３分　フライパン１つで！　和風パスタ,キユーピー3分クッキング,グロッサリー,対象,11,11_68658,210
